Typhoon Code,Typhoon Name,Highest Signal Issued,Cheung Chau,Hong Kong International Airport,Sai Kung,Kai Tak,Tsing Yi Shell Oil Depot,Lau Fau Shan,Ta Kwu Ling,Sha Tin,King's Park,Waglan Island
(0706_1,Pabuk_1,3,79,52,48,41,48,42,28,27,36,92
(0706_2,Pabuk_2,8,101,59,54,,60,42,23,35,31,88
(0801,Neoguri,3,84,68,47,50,47,44,31,33,31,85
(0806,Fengshen,8,76,65,51,68,49,68,29,40,41,110
(0809,Kammuri,8,89,62,66,55,42,54,37,37,45,104
(0812,Nuri,9,99,83,96,54,63,59,45,55,59,128
(0814,Hagupit,8,113,81,82,67,46,68,45,42,54,115
(0904,Nangka,3,40,38,39,36,22,,27,21,23,59
(0905,Soudelor,3,54,40,42,37,22,,23,25,31,52
(0906,Molave,9,71,75,55,61,59,99,49,50,45,103
(0907,Goni,8,71,49,44,41,28,,28,29,31,63
(0913,Mujigae,3,57,40,48,42,22,,22,24,31,72
(0915,Koppu,8,112,87,79,76,46,56,45,41,54,117
(1003,Chanthu,3,56,51,39,44,29,,19,26,30,52
(1011,Fanapi,3,58,53,32,37,30,43,19,33,30,72
(1013,Megi,3,52,39,43,37,35,41,30,24,30,54
(1104,Haima,3,84,60,53,49,32,,31,30,36,75
(1108,Nock-ten,3,61,54,43,40,32,46,25,24,31,72
(1117,Nesat,8,85,78,66,53,39,58,35,36,40,88
(1119,Nalgae,3,47,40,38,23,19,,27,26,23,52
(1205,Talim,3,48,36,29,32,19,,20,17,23,49
(1206,Doksuri,8,72,57,62,50,37,47,36,31,38,88
(1208,Vicente,10,140,96,82,85,51,68,47,46,63,113
(1213,Kai-Tak,8,75,52,55,44,30,31,28,27,36,75
(1305,Bebinca,3,64,44,42,38,25,36,19,24,30,56
(1306,Rumbia,3,58,56,44,39,31,38,21,22,30,72
(1309,Jebi,3,68,58,48,42,44,36,23,26,30,59
(1311,Utor,8,77,63,53,50,43,43,37,33,38,77
(1319,Usagi,8,90,68,40,51,52,85,35,37,40,92
(1409,Rammasun,3,83,52,51,45,36,36,31,24,40,72
(1415,Kalmaegi,8,93,78,66,50,40,68,43,29,54,88
(1510,Linfa,8,50,49,36,35,23,44,16,26,20,56
(1522,Mujigae,3,84,62,46,50,34,34,27,26,34,79
(1601W,TD1601W,3,55,48,45,42,37,37,18,20,22,63
(1604,Nida,8,78,81,55,58,54,72,32,44,45,104
(1608,Dianmu,3,55,40,43,38,25,34,22,30,25,67
(1621,Sarika,3,69,43,54,48,30,38,29,24,31,79
(1622,Haima,8,75,70,42,50,56,75,25,29,40,88
(1702,Merbok,8,66,62,56,46,38,57,25,28,34,99
(1707,Roke,8,37,30,31,28,24,36,17,18,20,49
(1713,Hato,10,133,103,80,81,55,78,49,45,63,142
(1714,Pakhar,8,113,76,75,64,43,62,41,38,58,113
(1716,Mawar,3,50,49,20,33,23,50,18,30,22,68
(1720,Khanun,8,79,52,58,39,24,45,35,30,40,92
(1804,Ewiniar,3,66,49,43,37,33,33,20,27,27,
(1809_1,Son-Tinh_1,3,71,52,40,38,27,28,27,18,31,63
(1816,Bebinca,3,61,40,36,29,27,32,19,17,25,49
(1823,Barijat,3,45,40,38,29,20,35,19,21,30,68
(1822,Mangkhut,10,173,115,118,90,63,110,62,58,81,180
(1826,Yutu,3,41,36,42,24,28,37,29,22,27,54
(1907,Wipha,8,87,59,56,47,43,53,29,31,41,94
(1914,Kajiki,3,63,40,42,32,26,36,22,24,30,68
(2002,Nuri,3,57,46,49,40,30,35,24,26,31,60